constructive algorithms
data structures
greedy
math
dfs and similar
dp
trees
graphs
probabilities
brute force
sortings
bitmasks
divide and conquer
implementation
binary search
combinatorics
strings
two pointers
hashing
number theory
flows
games
dsu
shortest paths
graph matchings
geometry
interactive
meet-in-the-middle
